brand,name,id,sale,priceU,salePriceU,url
DKC,Трубка изолирующая (100шт)-2шт,176460390,20,1040.0,832.0,https://basket-12.wb.ru/vol1764/part176460/176460390/info/sellers.json
EKF,Металлорукав нг ПВХ РЗ-ЦП 32 с протяжкой,39319769,25,5618.0,4213.0,https://basket-03.wb.ru/vol393/part39319/39319769/info/sellers.json
EKF,Металлорукав нг ПВХ РЗ-ЦП-18 с протяжкой,39319723,40,7365.0,4419.0,https://basket-03.wb.ru/vol393/part39319/39319723/info/sellers.json
WOG,Очиститель контактов быстросохнущий 75 мл,166820992,15,459.0,390.0,https://basket-12.wb.ru/vol1668/part166820/166820992/info/sellers.json
WOG,Очиститель контактов от окисления быстросохнущий 75 мл,24575685,59,788.0,323.0,https://basket-02.wb.ru/vol245/part24575/24575685/info/sellers.json
EKF,Металлорукав нг ПВХ РЗ-ЦП - 10 с протяжкой (50 м),39319709,25,4665.0,3498.0,https://basket-03.wb.ru/vol393/part39319/39319709/info/sellers.json
EKF,Металлорукав нг ПВХ РЗ-ЦП - 22 с протяжкой (20 м),39319732,25,3819.0,2864.0,https://basket-03.wb.ru/vol393/part39319/39319732/info/sellers.json
EKF,Металлорукав нг ПВХ РЗ-ЦП - 15 с протяжкой (50 м),39319716,25,6227.0,4670.0,https://basket-03.wb.ru/vol393/part39319/39319716/info/sellers.json
ACOBYS,Зонт-автомат розовый с обратным сложением,151536873,48,1599.0,831.0,https://basket-10.wb.ru/vol1515/part151536/151536873/info/sellers.json
WAYSKO,Вкладыши прокладки от пота для подмышек,111297648,50,602.0,301.0,https://basket-07.wb.ru/vol1112/part111297/111297648/info/sellers.json
WAYSKO,Вкладыши прокладки от пота для подмышек,111297649,50,602.0,301.0,https://basket-07.wb.ru/vol1112/part111297/111297649/info/sellers.json
TDM,Индикатор напряжения (пробник) с комбинированным жалом 100-5,173066848,1,403.0,398.0,https://basket-12.wb.ru/vol1730/part173066/173066848/info/sellers.json
ACOBYS,Зонт-автомат розовый с обратным сложением,151536871,48,1599.0,831.0,https://basket-10.wb.ru/vol1515/part151536/151536871/info/sellers.json
ACOBYS,Зонт-автомат розовый с обратным сложением,151536872,48,1599.0,831.0,https://basket-10.wb.ru/vol1515/part151536/151536872/info/sellers.json
Systeme Electric,BLANCA Ясень Перекл. 1-кл. (cх.6) изол. (комплект из 2 шт),148580436,0,894.0,894.0,https://basket-10.wb.ru/vol1485/part148580/148580436/info/sellers.json
HB Body,"BODY 955 Сверхпрочное покрытие (черный) 0,6 + 0,2 л",142056940,0,3186.0,3186.0,https://basket-10.wb.ru/vol1420/part142056/142056940/info/sellers.json
HB Body,"BODY 955 Сверхпрочное покрытие (колеруемое) 0,6 + 0,2 л",142056597,0,3186.0,3186.0,https://basket-10.wb.ru/vol1420/part142056/142056597/info/sellers.json
TDMElectric,Круглогубцы диэлектрические 160мм ручной инструмент до 1000В,70558647,35,2454.0,1595.0,https://basket-04.wb.ru/vol705/part70558/70558647/info/sellers.json
TDM,Индикатор напряжения (пробник) с комбинированным жалом 100-5,170927389,35,403.0,261.0,https://basket-12.wb.ru/vol1709/part170927/170927389/info/sellers.json
Mustela,"Эмульсия крем от опрелостей Мустелла Liniment, 400 мл",177368923,50,2780.0,1390.0,https://basket-12.wb.ru/vol1773/part177368/177368923/info/sellers.json
Chamaleon,"Грунтовка автомобильная CHAMAELEON 5+1 HS Optimal 1л, белый",166500018,3,2756.0,2673.0,https://basket-12.wb.ru/vol1665/part166500/166500018/info/sellers.json
TDM,Круглогубцы диэлектрические инструмент для электрики 160 мм,145137858,54,2200.0,1012.0,https://basket-10.wb.ru/vol1451/part145137/145137858/info/sellers.json
ФAZA,Изолента черная оснастка для электрика,89163609,35,1271.0,826.0,https://basket-05.wb.ru/vol891/part89163/89163609/info/sellers.json
ФAZA,Изолента черная строительный инструмент и оснастка электрика,110011608,35,964.0,626.0,https://basket-07.wb.ru/vol1100/part110011/110011608/info/sellers.json
